topology,links,nodes,flows,avg,into sol,into time,into gap,vrp sol,vrp time,vrp gap,lower sol,lower time,lower gap,relax sol,relax time,relax gap,ctr sol,ctr time,ctr gap,h sol,h time,h gap
zoo_108_1146,185,104,1146,3.933682373,63,22.6,0,,,,63,0.73,0,50,0.4,20.63,76,0.05,17.11%,77,0.012,18.18%
zoo_108_1717,191,108,1717,4.179965055,61,103.71,0,,,,61,2.25,0,54,0.66,11.47,74,0.09,17.57%,77,0.017,20.78%
zoo_108_1718,189,108,1718,4.223515716,61,210.35,0,,,,61,1.29,0,54,0.65,11.47,73,0.10,16.44%,79,0.018,22.78%
zoo_108_2289,190,108,2289,4.377020533,58,3600.55,4.13,,,,58,2.96,0,54,0.92,6.89,70,0.13,17.14%,69,0.026,15.94%
zoo_108_2290,191,108,2290,4.388646288,58,3600.14,4.74,,,,58,2.76,0,54,0.92,6.89,67,0.13,13.43%,69,0.025,15.94%
zoo_108_2862,191,108,2862,4.550663871,58,1721.64,0,,,,58,4.53,0,54,1.2,6.89,66,0.20,12.12%,65,0.034,10.77%
zoo_109_594,175,103,594,3.685185185,75,3.22,0,,,,75,0.33,0,49,0.18,34.66,83,0.02,9.64%,89,0.005,15.73%
zoo_110_594,180,106,594,3.658249158,73,3.64,0,,,,73,0.35,0,52,0.19,28.76,82,0.02,10.98%,82,0.005,10.98%
zoo_110_595,174,96,595,6.374789916,60,12.01,0,,,,60,0.61,0,44,0.27,26.66,74,0.03,18.92%,71,0.010,15.49%
zoo_110_1188,190,109,1188,3.929292929,67,23.2,0,,,,67,0.8,0,54,0.46,19.4,77,0.05,12.99%,79,0.011,15.19%
zoo_110_1189,198,100,1189,6.518923465,62,359.98,0,,,,61,1.18,1.61,45,0.59,27.41,80,0.07,22.50%,81,0.023,23.46%
zoo_110_1782,210,107,1782,6.624579125,68,3607.23,3.06,,,,67,2.8,1.47,52,0.92,23.52,89,0.13,23.60%,82,0.034,17.07%
zoo_110_1783,191,109,1783,4.180594504,63,206.28,0,,,,63,1.81,0,54,0.68,14.28,72,0.09,12.50%,75,0.020,16.00%
zoo_110_2376,212,106,2376,6.702020202,64,3603.79,4.3,,,,64,5.6,0,51,1.22,20.31,86,0.16,25.58%,86,0.043,25.58%
zoo_110_2380,194,110,2380,4.388655462,59,1566.3,0,,,,59,3.36,0,55,0.98,6.77,71,0.14,16.90%,70,0.025,15.71%
zoo_110_2970,218,110,2970,6.866666667,66,2522.01,0,,,,66,7.85,0,55,1.62,16.66,84,0.24,21.43%,85,0.056,22.35%
zoo_111_616,176,101,616,3.720779221,73,5.14,0,,,,73,0.33,0,48,0.19,34.24,80,0.02,8.75%,87,0.006,16.09%
zoo_112_616,180,110,616,3.652597403,76,6.88,0,,,,76,0.37,0,54,0.21,28.94,82,0.02,7.32%,85,0.005,10.59%
zoo_112_1232,196,112,1232,3.928571429,76,19.2,0,,,,76,0.8,0,56,0.45,26.31,88,0.05,13.64%,90,0.011,15.56%
zoo_112_1848,195,112,1848,4.244588745,61,213.02,0,,,,61,1.37,0,56,0.74,8.19,74,0.09,17.57%,78,0.020,21.79%
zoo_112_2464,195,111,2464,4.435470779,59,162.47,0,,,,59,3.29,0,55,1.01,6.77,70,0.15,15.71%,70,0.033,15.71%
zoo_112_2465,197,112,2465,4.364300203,60,141.39,0,,,,60,1.92,0,56,1.07,6.66,69,0.14,13.04%,73,0.026,17.81%
zoo_112_3080,197,112,3080,4.551948052,60,730.45,0,,,,60,2.46,0,56,1.31,6.66,69,0.21,13.04%,69,0.034,13.04%
zoo_114_639,185,108,639,3.699530516,79,3,0,,,,79,0.35,0,51,0.21,35.44,85,0.02,7.06%,94,0.006,15.96%
zoo_114_1278,199,114,1278,4.035211268,71,72.51,0,,,,71,0.95,0,57,0.5,19.71,79,0.06,10.13%,84,0.012,15.48%
zoo_114_1916,194,111,1916,4.303757829,59,128.97,0,,,,59,1.79,0,54,0.77,8.47,72,0.10,18.06%,73,0.020,19.18%
zoo_114_2553,200,114,2553,4.481002742,62,3601.87,1.61,,,,62,3.52,0,57,1.09,8.06,73,0.15,15.07%,74,0.029,16.22%
zoo_114_3192,200,114,3192,4.610275689,61,1762.97,0,,,,61,5.35,0,57,1.39,6.55,71,0.23,14.08%,70,0.063,12.86%
